kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,ra,dec
9645188,K05701.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,48.55059299,,,148.6714009,,,,,,1.79,,,,,,,,,,,,,290.20685,46.313541
9659022,K05702.01,,CANDIDATE,CANDIDATE,,0,0,0,0,511.882,1.51E-02,-1.51E-02,533.7435,2.04E-02,-2.04E-02,0.5102,0.081,-0.4133,4.822,0.842,-0.842,6.10E+02,1.45E+02,-1.45E+02,0.023257,5.00E-03,-6.72E-04,2.56,1.14E+00,-2.50E-01,6.5,295.69479,46.319328
9662475,K05703.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,247.372131,2.06E-03,-2.06E-03,277.35008,6.94E-03,-6.94E-03,0.4257,0.0352,-0.4257,3.271,0.199,-0.199,5.13E+02,4.33E+01,-4.33E+01,0.022658,6.88E-04,-1.35E-03,2.47,0.00E+00,0.00E+00,12.4,296.85858,46.30019
9674789,K05704.01,,CANDIDATE,CANDIDATE,,0,0,0,0,96.16705,2.07E-03,-2.07E-03,134.6749,1.43E-02,-1.43E-02,0.1194,0.364,-0.1194,2.775,0.534,-0.534,2.71E+02,4.76E+01,-4.76E+01,0.014748,1.49E-03,-1.62E-03,1.15,2.20E-01,-9.00E-02,7.2,300.47403,46.332039
9705620,K05705.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,95.254421,1.84E-03,-1.84E-03,181.4574,1.47E-02,-1.47E-02,0.3116,0.1559,-0.3115,3.379,0.586,-0.586,4.65E+02,9.08E+01,-9.08E+01,0.01989,2.55E-03,-1.75E-03,2.2,1.00E+00,-1.90E-01,6.1,289.87979,46.400139
9715631,K05706.01,Kepler-1636 b,CONFIRMED,CANDIDATE,0.904,0,0,0,0,425.483539,8.62E-03,-8.62E-03,149.0438,1.86E-02,-1.86E-02,0.03,0.436,-0.029,17.856,0.623,-0.623,9.97E+02,6.03E+01,-6.03E+01,0.028707,1.39E-03,-1.11E-03,3.2,9.20E-01,-3.00E-01,19.6,294.05762,46.441029
9723746,K05707.01,,CANDIDATE,CANDIDATE,,0,0,0,0,208.800733,6.39E-03,-6.39E-03,328.6955,1.45E-02,-1.45E-02,0.3095,0.187,-0.3093,1.964,0.653,-0.653,5.94E+02,1.39E+02,-1.39E+02,0.022565,2.01E-03,-4.98E-03,2.88,1.80E+00,-3.70E-01,4.9,296.94031,46.494099
9724993,K05708.01,,FALSE POSITIVE,FALSE POSITIVE,0.973,0,1,0,0,7.863361238,1.10E-06,-1.10E-06,131.685485,1.10E-04,-1.10E-04,0.869,0.008,-0.001,3.42771,0.00758,-0.00758,1.82E+04,3.99E+01,-3.99E+01,0.148511,2.46E-03,-4.07E-04,22.7,3.38E+00,-5.07E+00,723.3,297.31314,46.448212
10677763,K05820.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,120.169838,,,222.0869054,,,,,,3.19,,,,,,,,,,,,,296.40851,47.982121
10678912,K05821.01,,CANDIDATE,CANDIDATE,,0,0,0,0,113.7136303,,,179.5299204,,,,,,2.45,,,,,,,,,,,,,296.75278,47.973282
10685764,K05822.01,,CANDIDATE,CANDIDATE,,0,0,0,0,17.634272,1.23E-04,-1.23E-04,133.29332,5.55E-03,-5.55E-03,0.1876,0.2714,-0.1872,1.387,0.18,-0.18,7.67E+01,9.90E+00,-9.90E+00,0.00782,6.88E-04,-5.63E-04,1.69,1.31E+00,-1.03E+00,9.7,298.74216,47.945278
10724569,K05823.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.745086745,2.30E-06,-2.30E-06,131.82655,2.94E-03,-2.94E-03,0.626,0.335,-0.625,4.29,1.7,-1.7,2.70E+02,3.18E+01,-3.18E+01,0.015692,2.75E-02,-1.48E-03,1.29,2.00E-01,-1.00E-01,61.4,289.16986,48.06678
10734441,K05824.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,247.4772431,,,195.2104849,,,,,,7.6,,,,,,,,,,,,,293.14627,48.058331
10737437,K05825.01,,CANDIDATE,CANDIDATE,,0,0,0,0,208.047137,9.33E-03,-9.33E-03,321.9021,2.28E-02,-2.28E-02,0.1884,0.3127,-0.1883,3.22,0.707,-0.707,2.88E+02,7.00E+01,-7.00E+01,0.015645,2.38E-03,-1.69E-03,2.05,7.80E-01,-6.00E-01,6.9,294.28503,48.059448
10747162,K05826.01,,CANDIDATE,CANDIDATE,,0,0,0,0,30.561533,3.26E-04,-3.26E-04,136.05488,8.14E-03,-8.14E-03,0.0124,0.4358,-0.0124,2.227,0.308,-0.308,5.86E+02,9.72E+01,-9.72E+01,0.021046,2.68E-03,-1.70E-03,1.53,8.00E-02,-1.50E-01,6.9,297.39093,48.03928
10777591,K05827.01,Kepler-1637 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,6.10968225,6.03E-05,-6.03E-05,133.80253,9.46E-03,-9.46E-03,0.108,0.336,-0.108,5.735,0.254,-0.254,6.03E+01,3.80E+00,-3.80E+00,0.007145,3.65E-04,-1.92E-04,0.79,2.30E-01,-1.90E-01,18.6,282.23685,48.154243
7979297,K05455.01,,CANDIDATE,CANDIDATE,,0,0,0,0,292.09809,2.10E-02,-2.10E-02,324.4378,3.58E-02,-3.58E-02,0.5155,0.0827,-0.402,14.43,1.4,-1.4,5.29E+02,5.73E+01,-5.73E+01,0.021637,1.06E-03,-1.57E-03,2.09,7.40E-01,-1.70E-01,11.4,297.75494,43.789261
7982917,K05456.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,11.8045536,2.91E-04,-2.91E-04,141.8433,1.99E-02,-1.99E-02,0.1533,0.3081,-0.1531,3.195,0.596,-0.596,1.29E+02,2.11E+01,-2.11E+01,0.010068,9.36E-04,-1.08E-03,0.94,1.98E+00,-9.00E-02,7,298.62399,43.719471
8005002,K05457.01,,CANDIDATE,CANDIDATE,,0,0,0,0,578.21623,1.61E-02,-1.61E-02,347.643,1.05E-02,-1.05E-02,0.3763,0.1324,-0.3762,2.707,0.507,-0.507,1.21E+02,3.15E+01,-3.15E+01,0.009991,1.30E-03,-2.10E-03,3.54,1.62E+00,-1.44E+00,3.5,280.34219,43.83334
8007174,K05458.01,,CANDIDATE,CANDIDATE,0.99,0,0,0,0,56.648588,7.86E-04,-7.86E-04,168.47002,9.24E-03,-9.24E-03,0.769,0.169,-0.535,4.534,0.276,-0.276,6.49E+02,6.16E+01,-6.16E+01,0.025661,7.50E-03,-3.31E-03,2.19,2.20E-01,-1.80E-01,11.8,281.8277,43.808689
8009811,K05459.01,,CANDIDATE,CANDIDATE,0.944,0,0,0,0,53.554546,1.42E-03,-1.42E-03,160.3983,2.47E-02,-2.47E-02,0.62,0.013,-0.496,5.533,0.756,-0.756,1.28E+02,1.85E+01,-1.85E+01,0.010812,4.00E-04,-1.32E-03,3.1,4.40E-01,-1.04E+00,8.9,283.37384,43.801361
8016211,K05460.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1,3.1748772,1.23E-04,-1.23E-04,133.7621,5.37E-02,-5.37E-02,0.94,0.003,-0.004,7.089,0.1,-0.1,1.74E+03,2.36E+01,-2.36E+01,0.049761,4.52E-04,-7.96E-04,8.8,4.48E+00,-4.03E+00,98.6,286.69333,43.869961
8016650,K05461.01,,CANDIDATE,CANDIDATE,,0,0,0,0,119.079642,3.17E-03,-3.17E-03,134.0349,2.64E-02,-2.64E-02,0.2275,0.2406,-0.2274,16.268,0.72,-0.72,4.23E+02,2.90E+01,-2.90E+01,0.018231,1.12E-03,-7.93E-04,17.89,7.40E-01,-5.04E+00,18,286.92426,43.82943
8025718,K05462.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,371.18648,1.69E-02,-1.69E-02,260.7045,2.70E-02,-2.70E-02,0.0845,0.3853,-0.0845,19.929,0.963,-0.963,3.18E+02,2.75E+01,-2.75E+01,0.016373,1.09E-03,-6.98E-04,2.06,1.18E+00,-2.70E-01,18.1,290.7309,43.87009
8915379,K05583.01,,CANDIDATE,CANDIDATE,,0,0,0,0,20.5858591,8.47E-04,-8.47E-04,140.6753,2.72E-02,-2.72E-02,0.7233,0.0522,-0.5423,3.069,0.983,-0.983,2.60E+02,8.52E+01,-8.52E+01,0.015877,1.38E-03,-4.85E-03,1.31,7.80E-01,-1.40E-01,6.6,300.9559,45.11108
8935352,K05584.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,10.90962154,1.10E-05,-1.10E-05,135.36692,1.31E-03,-1.31E-03,0.146,0.006,-0.005,17.8024,0.0118,-0.0118,5.00E+05,3.41E+02,-3.41E+02,0.661541,3.26E-04,-5.83E-04,149.1,9.96E+01,-1.10E+02,2345.1,283.98358,45.284752
8937555,K05585.01,,CANDIDATE,CANDIDATE,,0,0,0,0,113.573945,1.40E-03,-1.40E-03,216.47178,7.21E-03,-7.21E-03,0.1359,0.3378,-0.1358,3.007,0.342,-0.342,2.50E+02,3.08E+01,-3.08E+01,0.014147,1.08E-03,-1.13E-03,3.45,2.17E+00,-1.98E+00,7.8,285.09998,45.23811
